event_id,day_of_conflict,date,event_domain,event_type,health_category,insult,counted,audit_action,audit_note,data_confidence,country,location_name,source_file,event_description
EVT-1564,3,2026-03-02,STRIKE,airstrike,facility_attack,True,True,rule,,MEDIUM,Iran,Tehran,strikes-iran.json,"Tehran: Gandhi Hospital (damaged by nearby strike on state TV tower, Mar 2 — IVF department destroyed)"
EVT-0043,7,2026-03-06,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,Iranian civilian death toll estimated at 400+: Iranian Red Crescent and state media report over 400 civilian deaths from US and Israeli strikes in the first week. Independent verification is impossible due to media access restrictions. Iran claims the number is significantly higher. Pentagon states all targets are military or dual-use and that civilian casualties are 'deeply regretted but not the objective.'
EVT-0060,11,2026-03-10,HUMANITARIAN,humanitarian,wash_disruption,True,True,rule,,HIGH,,,timeline-events.json,"Iranian infrastructure damage assessment — power, water, fuel: The ICRC reports significant damage to Iranian civilian infrastructure including power generation (30-40% of national grid offline in western Iran), water treatment disruption in Ahvaz and Kermanshah, and fuel shortages as refinery capacity is degraded. Hospitals are operating on backup generators. Iran's road and rail network is severely disrupted by strikes on bridges and logistics hubs."
EVT-0077,13,2026-03-12,HUMANITARIAN,humanitarian,facility_attack,True,True,rule,,HIGH,,,timeline-events.json,"Iranian state media claims hospital hit in Ahvaz: Iranian state television broadcasts footage of a damaged hospital in Ahvaz, claiming a US airstrike struck the facility, killing 12 patients and staff. Pentagon states the target was an IRGC logistics hub 400 meters away and that the hospital damage was caused by secondary explosions. Independent verification not yet possible."
EVT-0094,15,2026-03-14,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Iran Health Ministry: 1,444 killed, 18,551 injured: Iranian Health Ministry releases updated casualty figures: 1,444 killed and 18,551 injured since February 28. Separately, Hengaw (Kurdish human rights organization) reports 4,400+ Iranian military personnel killed, a significantly higher figure. Iranian Red Crescent reports 20,000+ civilian buildings affected including 16,000 residential units. 31 major hospitals damaged, 12 rendered inactive. WHO has verified 13 attacks on healthcare infrastructure in Iran."
EVT-0102,16,2026-03-15,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Lebanese casualties reach 826+ killed — IDF ground operations continue: Lebanese Health Ministry reports cumulative death toll from Israeli strikes and ground operations has reached 826+ killed and 2,009+ wounded since March 2. At least 102 children among the dead. 850,000+ displaced. IDF ground operations in southern Lebanon continue with heavy fighting around Bint Jbeil and the eastern sector. Hezbollah's Radwan Force continues to employ IEDs, tunnel systems, and anti-tank missiles against advancing IDF forces."
EVT-0157,20,2026-03-19,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Hengaw 5th report: 5,300 killed in 18 days — 511 civilians — 120 children: Hengaw Organization's 5th report documents 5,300 killed in the first 18 days of the war — 511 civilians (9.6%), including 120 minors and 160 women, plus 4,800+ military personnel. Strikes recorded in 178 cities across 25 provinces. Iran Health Ministry separately reports 1,444 killed and 18,551 injured. HRANA documented 3,114 deaths. US: 13 KIA, ~200 wounded."
EVT-0191,22,2026-03-21,MILITARY,military,facility_attack,False,False,excluded,"Receiving hospital (Soroka mass-casualty declaration); demand-surge signal, not an attack on the health system",HIGH,,,timeline-events.json,"Iran strikes Dimona and Arad, Israel — 180-200 injured near nuclear center: Iran launched ballistic missiles with conventional warheads at Dimona and Arad in southern Israel, near the Shimon Peres Negev Nuclear Research Center. At least 2 missiles penetrated air defenses. 180-200 injured including a 12-year-old boy and 5-year-old girl in serious condition. 10+ apartment buildings damaged in Arad, 3 in danger of collapse. Mass casualty event declared at Soroka Hospital, Beersheba. IAEA: no abnormal radiation detected. Iran's Ghalibaf: 'If the Israeli regime is unable to intercept missiles in the heavily protected Dimona area, it is operationally a sign of entering a new phase of the battle.'"
EVT-2169,22,2026-03-21,RETALIATION,missile_attack,facility_attack,False,False,excluded,Duplicate of EVT-0191 (strike-file row); same receiving-hospital rationale,HIGH,Israel,"Dimona and Arad, Israel",strikes-retaliation.json,"Dimona and Arad, Israel: Ballistic missiles with conventional warheads (hundreds of kg of explosives) — 180-200 injured. Dimona: ~47 injured incl. 12-year-old boy (serious). Arad: ~84-116 injured incl. 5-year-old girl (serious), 10 serious, 19 moderate. Mass casualty event declared at Soroka Hospital, Beersheba. 8 killed per Greek City Times ONLY — UNVERIFIED."
EVT-0207,24,2026-03-23,MILITARY,military,system_report,False,False,reclassified,"HRW cumulative toll report; documents workforce harm, is not itself a new insult",HIGH,,,timeline-events.json,"HRW: IDF operations in Lebanon constitute war crimes — 3 Litani bridges destroyed: Human Rights Watch issued report stating IDF operations in Lebanon constitute war crimes: forcible displacement, wanton destruction, and attacks targeting civilians. 1,029+ killed, 1M+ displaced, 31 healthcare workers killed. IDF destroyed 3 Litani River bridges, severing southern Lebanon. Defense Minister Katz ordered demolition of border villages. Finance Minister Smotrich called for Litani as new border."
