variable_name,variable_label,variable_type,valid_values,pct_non_null,missing_code,source_domain,notes
event_id,Unique Event Identifier,string,,100.0%,Should not be missing,all,Sequential ID (EVT-0001...) assigned during extraction. Stable across re-runs if source data unchanged.
date,Event Date (ISO 8601),date,,100.0%,Should not be missing,all,YYYY-MM-DD. Pre-war oil prices go back to 2026-01-02. Conflict events start 2026-02-28.
datetime_utc,Event Datetime,datetime,,17.7%,Not available — only timeline events have timestamps,timeline-events.json,"YYYY-MM-DDTHH:MM:SS. Times are approximate local time, not true UTC. Events span multiple time zones."
day_of_conflict,Day of Conflict,integer,0 – 30,100.0%,Should not be missing,all,Day 0 = 2026-02-27 (pre-war baseline). Day 1 = 2026-02-28 (first strikes). Max = 30.
event_domain,Event Domain,categorical,CYBER | DIPLOMATIC | FINANCIAL | HUMANITARIAN | MILITARY | NAVAL | OTHER | RETALIATION | STRIKE,100.0%,Should not be missing,all,Primary classification. STRIKE = US/Israeli offensive. RETALIATION = Iranian/proxy response. MILITARY = other military. NAVAL = maritime/fleet. FINANCIAL = economic data. DIPLOMATIC = political/diplomatic. HUMANITARIAN = casualties/damage. CYBER = cyber ops. OTHER = reference/summary.
event_type,Event Type (subcategory),categorical,air | airstrike | alternative_route | amphibious | baseline_metric | carrier | cyber | daily_aggregate_snapshot | daily_briefing | daily_casualty_report | daily_war_cost | destroyer | diplomatic | domestic | economic | financial | ground | historical_comparison | hormuz_daily_narrative | humanitarian | infrastructure_damage | littoral_combat_ship | maritime_attack_summary | market_index | military | military_base | missile_attack | oil_price | operational_loss | political | rocket_attack | strait_closure | strategic_geography | submarine | summary | tanker_transit,100.0%,Should not be missing,all,"More specific than event_domain. 25 unique values. Key types: airstrike, missile_attack, rocket_attack, daily_casualty_report, oil_price, market_index, daily_war_cost, tanker_transit, baseline_metric, daily_aggregate_snapshot."
event_description,Event Description,text,,100.0%,Should not be missing,all,Free-text description. Format varies by source: timeline events = 'title: description'; strikes = 'city: target'; financial = metric summary.
source_file,Source JSON File,categorical,baselines.json | briefings/index.json | carriers.json | casualties.json | global-bases.json | hero-stats.json | historical-comparison.json | hormuz.json | infrastructure.json | markets.json | oil-prices.json | strikes-iran.json | strikes-retaliation.json | timeline-events.json | war-costs.json,100.0%,Should not be missing,all,Which JSON file in public/data/ this row was extracted from.
source_record_id,Source Record ID,string,,54.4%,Not available — source has no record ID,strikes-iran.json; strikes-retaliation.json; carriers.json; briefings/index.json,"Original ID from source data (e.g., 'tehran-leadership', 'cvn-72'). NULL for timeline events, casualties, financial data."
location_name,Location Name,string,,54.6%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,"City, base, or area name. Granularity varies: city-level for strikes, operational area for naval assets."
location_lat,Latitude,float,-7.32 – 52.39,54.4%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,"WGS84 decimal degrees. Precision varies: strike locations ~4 decimal places, naval assets approximate."
location_lon,Longitude,float,-157.9 – 139.7,54.4%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,WGS84 decimal degrees.
country,Country,categorical,Bahrain | Cyprus | Diego Garcia | International Waters | Iran | Iraq | Israel | Jordan | Kuwait | Lebanon | Oman | Qatar | Saudi Arabia | UAE,52.8%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,Extracted from city/location names via pattern matching. 'International Waters' for maritime events.
actor_initiating,Initiating Actor,string,,53.4%,Not applicable or not determinable,strikes; retaliation; carriers; global-bases,"Who carried out the action. Values: US, Israel, US/Israel (joint), Hezbollah, Iran, IRGC Navy, various proxy groups, UK, France."
actor_target,Target Actor/Entity,string,,60.8%,Not applicable,strikes; retaliation; casualties,"Who or what was targeted. For casualties, identifies the faction (e.g., 'Iran (military)', 'US (military)')."
weapon_system,Weapon System,string,,14.3%,Not applicable (non-retaliation event or not recorded),strikes-retaliation.json,"Weapon type from retaliation records. Examples: 'Ballistic missiles / cruise missiles / drones', 'Fattah hypersonic'."
military_asset,Military Asset,string,,0.8%,Not applicable (non-naval event),carriers.json,Vessel name and hull number. Example: 'USS Abraham Lincoln (CVN-72)'.
casualties_reported,Casualties Reported,integer,0 – 122,25.7%,Not recorded or not applicable,strikes; retaliation; casualties; hormuz,"Numeric casualty count when parseable, or text description. For daily casualty reports, this is the estimated daily killed for one faction. For strikes, attached to first target only to avoid double-counting."
casualties_civilian,Civilian Casualties,integer,5 – 45,1.8%,Not recorded or not applicable,casualties.json,"Civilian killed count. Populated only for Iranian civilian daily casualty reports. These are daily estimates, not cumulative."
casualties_military,Military Casualties,integer,0 – 122,5.7%,Not recorded or not applicable,casualties.json; historical-comparison.json,"Military killed count. Populated for Iranian military, US military, and Israeli military daily reports. Daily estimates, not cumulative."
infrastructure_target_type,Infrastructure Target Type,categorical,air_defense | civilian | communications | healthcare | military_base | nuclear_facility | oil_infrastructure | power_grid | transportation,28.3%,Not applicable (non-strike or non-infrastructure event),strikes-iran.json; infrastructure.json,"Inferred from target descriptions. Values: military_base, civilian, nuclear_facility, oil_infrastructure, air_defense, communications, healthcare, power_grid, transportation."
financial_metric_name,Financial Metric Name,string,,14.7%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,"Name of the financial indicator. Examples: 'Brent Crude', 'S&P 500', 'Daily US War Cost', 'Hormuz Tanker Transits'."
financial_metric_value,Financial Metric Value,float,0 – 4.898e+04,14.6%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,Numeric value of the financial metric. Units vary — see financial_metric_unit.
financial_metric_unit,Financial Metric Unit,categorical,USD millions | USD trillions | USD/bbl | USD/gallon | USD/oz | USD/share | index (Feb 27 = 100) | index points | million bbl/day | percent | transits/day,14.7%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,"Unit of measurement. Examples: 'USD/bbl', 'index (Feb 27 = 100)', 'USD millions', 'transits/day'."
escalation_level,Escalation Level,string,,0.0%,Not available — no escalation scoring in source data,N/A,Reserved for future use. Not present in source data. Always NULL.
data_confidence,Data Confidence,categorical,HIGH | LOW | MEDIUM,100.0%,Should not be missing,all,"Assessment of data reliability. HIGH = from structured field with authoritative source. MEDIUM = inferred or from secondary sources. LOW = unverified, imputed, or from Wikipedia."
timeline_source,Timeline Source Attribution,string,,17.7%,Not applicable (non-timeline event),timeline-events.json,"Source attribution from timeline record. Examples: 'DoD / White House', 'CENTCOM / IDF'."
timeline_data_point,Timeline Key Data Point,string,,17.0%,Not applicable or no data point recorded,timeline-events.json,"Quantitative highlight from the timeline event. Example: '3,000+ targets struck in first 72 hours'."
strike_notes,Strike/Source Notes,text,,53.1%,Not applicable (non-strike/naval event),strikes-iran.json; strikes-retaliation.json; infrastructure.json; carriers.json,"Detailed operational notes from source record. Often contains sourcing, context, and cross-references."
strike_verified,Strike Verified,boolean,False | True,14.3%,Not applicable (non-retaliation event),strikes-retaliation.json,Whether the retaliation strike was verified in open-source reporting. True/False. 4 of 72 retaliation locations are unverified.
naval_strike_group,Naval Strike Group,string,,0.8%,Not applicable (non-naval event),carriers.json,Strike group or command assignment. Example: 'Carrier Strike Group 3'.
naval_aircraft,Naval Aircraft Complement,text,,0.5%,Not applicable (non-naval event),carriers.json,"Aircraft types embarked. Example: 'F/A-18E/F Super Hornets, F-35C Lightning II'."
naval_escorts,Naval Escort Vessels,text,,0.2%,Not applicable (non-naval event),carriers.json,"Escort vessels listed, semicolon-separated."
infrastructure_damage_count,Infrastructure Damage Count,integer,1 – 44,0.4%,Not applicable (non-infrastructure event),infrastructure.json,"Numeric count of damaged facilities. Parsed from text (e.g., '29+' → 29). Minimums; actual totals may be higher."
snapshot_brent,Daily Snapshot: Brent Crude,float,71 – 112.6,1.5%,Not available for this day (weekend/holiday or not reported),hero-stats.json,Brent crude price (USD/bbl) from daily aggregate snapshot. NULL on non-trading days.
